Economy,Economy code,ACCESSING INSTITUTIONS SCORE,Are married women required by law to obey their husbands?,Can a woman legally apply for a passport in the same way as a man?,Can a woman legally apply for a national ID card in the same way as a man?,Can a woman legally travel outside the country in the same way as a man?,Can a woman legally travel outside her home in the same way as a man?,Can a woman legally choose where to live in the same way  as a man?,Can a woman legally sign a contract in the same way as a man?,Can a woman legally register a business in the same way as a man?,Can a woman legally open a bank account in the same way as a man?,Can a woman legally get job or pursue a trade or profession in the same way as a man?,"Can a woman legally be ""head of household"" or ""head of family"" in the same way as a man?",USING PROPERTY SCORE,Who legally administers marital property?,Does the law provide for valuation of nonmonetary contributions?,Do men and women have equal ownership rights to immovable property?,Do sons and daughters have equal rights to inherit assets from their parents?,Do female and male surviving spouses have equal rights to inherit assets?,GOING TO COURT SCORE,Does a woman’s testimony carry the same evidentiary weight in court as a man's?,Does the law establish an anti-discrimination commission? ,Does the law mandate legal aid in civil and family matters? ,Is there a small claims court or a fast-track procedure for small claims?,PROVIDING INCENTIVES TO WORK SCORE,Are mothers guaranteed an equivalent position after maternity leave?,Does the government support or provide childcare services?,Are payments for childcare tax deductible?,Are there specific tax deductions or tax credits that are only applicable to men?,Is primary education free and compulsory? ,BUILDING CREDIT SCORE,Do retailers provide information to private credit bureaus or public credit registries?,Do utility companies provide information to private credit bureaus or public credit registries?,Does the law prohibit discrimination by creditors on the basis of sex or gender in access to credit?,Does the law prohibit discrimination by creditors on the basis of marital status in access to credit?,GETTING A JOB SCORE,Is there paid leave available to women of at least 14 weeks?,Do women receive at least 2/3 of their wages for the first 14 weeks or the duration of the leave if it is shorter?,What is the percentage of maternity leave benefits paid by the government?,"What is the difference between leave reserved for women and men relative to leave reserved for women, as a function of who pays?",Is there paid parental leave?,Does the law mandate equal remuneration for work of equal value?,Does the law mandate nondiscrimination based on gender in employment?,Is dismissal of pregnant workers prohibited?,Can parents work flexibly?,Can women work the same night hours as men?,"Can women work in jobs deemed hazardous, arduous or morally inappropriate in the same way as men? ",Are women able to work in the same industries as men?,Are women able to perform the same tasks at work as men? ,Are the ages at which men and women can retire with full pension benefits equal? ,Are the ages at which men and women can retire with partial pension benefits equal?,Is the mandatory retirement age for men and women equal?, PROTECTING WOMEN FROM VIOLENCE SCORE,"Is there legislation specifically addressing domestic violence? If not, are there aggravated penalties for crimes committed against a spouse or family member?",Is there legislation on sexual harassment in employment?,Is there legislation on sexual harassment in education?,Are there criminal penalties for sexual harassment in employment?,Are there  civil remedies for sexual harassment in employment?
Afghanistan,AFG,55,0,0,0,1,0,0,1,1,1,1,1,40,1,0,1,0,0,50,1,0,1,0,60,0,1,0,1,1,0,0,0,0,0,29,0.92,1.0,0,0.11,0,0,0,0,0,0,0,0,1,..,..,1,0,0.0,0,0,0,0
Albania,ALB,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,60,0,1,0,1,1,50,0,0,1,1,72,1.0,1.0,1,1,0,0,1,1,0,1,1,1,0,0.9,0.9,..,80,1.0,1,1,0,1
Algeria,DZA,82,1,0,0,1,1,1,1,1,1,1,1,40,1,0,1,0,0,50,1,0,1,0,80,1,1,0,1,1,0,0,0,0,0,51,1.0,1.0,1,1,0,1,0,0,0,0,0,1,1,0.7,0.5,0,40,0.0,1,0,1,0
Angola,AGO,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,60,0,1,0,1,1,0,0,0,0,0,73,0.92,1.0,1,1,0,1,1,1,1,1,0,0,0,1,..,1,20,1.0,0,0,0,0
Antigua and Barbuda,ATG,100,1,1,..,1,1,1,1,1,1,1,1,80,1,0,1,1,1,50,1,0,0,1,40,0,0,0,1,1,0,0,0,0,0,70,0.93,1.0,0.77,0.77,0,0,1,0,0,1,1,1,1,1,1,..,20,1.0,0,0,0,0
Argentina,ARG,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,100,1,1,1,1,1,50,1,1,0,0,63,0.92,1.0,1,1,0,1,1,1,0,1,0,0,0,0.5,..,1,40,1.0,1,0,0,0
Armenia,ARM,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,1,0,0,80,1,1,0,1,1,25,0,1,0,0,86,1.0,1.0,1,1,0,0,1,1,1,1,1,1,1,1,..,..,20,0.0,1,0,0,0
Australia,AUS,100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,100,1,1,1,1,100,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,..,..,80,1.0,1,1,0,1
Austria,AUT,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,0,1,1,1,1,100,1,1,1,1,100,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,..,..,60,1.0,1,0,0,1
Azerbaijan,AZE,100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,80,1,1,0,1,1,25,0,0,1,0,55,1.0,1.0,1,1,1,0,1,1,0,0,0,0,0,0.7,..,..,60,1.0,1,0,0,1
