Economy,Country Code,Region,Income group (Country number),T1,T1_Q1,T1_Q2,T1_Q3,T1_Q4,T1_Q5,T1_Q6,T1_Q7,T1_Q8,T1_Q9,T1_Q10,T1_Q11,T2,T2_Q1,T2_Q2,T2_Q3,T2_Q4,T2_Q5,T3,T3_Q1,T3_Q2,T3_Q3,T3_Q4,T4,T4_Q1,T4_Q2,T4_Q3,T4_Q4,T4_Q5,T5,T5_Q1,T5_Q2,T5_Q3,T5_Q4,T6,T6_Q1,T6_Q2,T6_Q3,T6_Q4,T6_Q5,T6_Q6,T6_Q7,T6_Q8,T6_Q9,T6_Q10,T6_Q11,T6_Q12,T6_Q13,T6_Q14,T6_Q15,T6_Q16,T7,T7_Q1,T7_Q2,T7_Q3,T7_Q4,T7_Q5
Afghanistan,AFG,South Asia,Low income (29),55,0,0,0,1,0,0,1,1,1,1,1,40,1,0,1,0,0,50,1,0,1,0,60,0,1,0,1,1,0,0,0,0,0,29,0.92,1,0,0.11,0,0,0,0,0,0,0,0,1,..,..,1,80,0,1,1,1,1
Albania,ALB,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,1,0,80,1,1,0,1,1,50,0,0,1,1,79,1,1,1,1,0,1,1,1,0,1,1,1,0,0.9,0.9,..,80,1,1,1,0,1
Algeria,DZA,Middle East & North Africa,Upper middle income (51),82,1,0,0,1,1,1,1,1,1,1,1,40,1,0,1,0,0,50,1,0,1,0,80,1,1,0,1,1,0,0,0,0,0,51,1,1,1,1,0,1,0,0,0,0,0,1,1,0.7,0.5,0,60,1,1,0,1,0
Angola,AGO,Sub-Saharan Africa,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,60,0,1,0,1,1,25,0,0,1,0,71,0.92,1,1,1,0,1,1,1,1,1,0,0,0,1,..,..,20,1,0,0,0,0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,80,1,0,1,1,1,50,1,0,0,1,40,0,0,0,1,1,0,0,0,0,0,70,0.93,1,0.77,0.77,0,0,1,0,0,1,1,1,1,1,1,..,20,1,0,0,0,0
Argentina,ARG,Latin America & Caribbean,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,75,1,1,0,1,100,1,1,1,1,1,50,1,1,0,0,63,0.92,1,1,1,0,1,1,1,0,1,0,0,0,0.5,..,1,40,1,1,0,0,0
Armenia,ARM,Europe & Central Asia,Lower middle income (53),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,50,1,1,0,0,80,1,1,0,1,1,25,0,1,0,0,86,1,1,1,1,0,0,1,1,1,1,1,1,1,1,..,..,20,0,1,0,0,0
Australia,AUS,High income: OECD,High income (56),100,1,1,..,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,1,1,0,1,1,100,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,..,80,1,1,1,0,1
Austria,AUT,High income: OECD,High income (56),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,100,1,1,1,1,80,0,1,1,1,1,100,1,1,1,1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,..,..,60,1,1,0,0,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income (51),100,1,1,1,1,1,1,1,1,1,1,1,100,1,1,1,1,1,25,1,0,0,0,80,1,1,0,1,1,25,0,0,1,0,57,1,1,1,1,1,0,1,1,0,0,0,0,0,1,..,..,60,1,1,0,0,1
